Course_Name,Rating,No_of_Ratings,No_of_Enrollment,Duration,Institution,Subject,Level,Language,Price
edX: How to Learn Online,4.2stars,66 ratings,295854,2,edX,Education & Teacher Training,Introductory,English,5796
BerkeleyX: The Science of Happiness,4.6,38 ratings,586360,11,BerkeleyX,Social Sciences,Introductory,English,14170
HarvardX: Remote Work Revolution for Everyone,4.6,96 ratings,119751,3,HarvardX,Business & Management,Introductory,English,12493
CS50's Introduction to Computer Science,None,None,6069194,12,HarvardX,Computer Science,Introductory,English,None
IBM: Data Visualization and Building Dashboards with Excel and Cognos,4.4,94 ratings,50423,4,IBM,Data Analysis & Statistics,Introductory,English,8301
"TUMx: Six Sigma Part 2: Analyze, Improve, Control",4.7stars,45 ratings,86213,8,TUMx,Business & Management,Introductory,English,15876
HarvardX: CS50's Introduction to Programming with Python,None,None,1086875,10,HarvardX,Computer Science,Introductory,English,None
IBM: Analyzing Data with Excel,4.4,450 ratings,252547,5,IBM,Data Analysis & Statistics,Introductory,English,8301
PennX: The Science of Generosity: Do Good…Feel Good,None,None,None,4,PennX,Philanthropy,Introductory,English,4108
BabsonX: Entrepreneurial Operations: Launching a Startup,4.7,17 ratings,49083,4,BabsonX,Business & Management,Intermediate,English,15847
IIMBx: Marketing Management,4.3,47 ratings,139290,9,IIMBx,Business & Management,Intermediate,English,12577
BerkeleyX: The Foundations of Happiness at Work,4.5,25 ratings,102178,4,BerkeleyX,Business & Management,Introductory,English,16685
W3Cx: Introduction to Web Accessibility,4.4,70 ratings,74588,4,W3Cx,Computer Science,Introductory,English,8301
ImperialX: Coaching Skills for Learner-Centred Conversations,4.6stars,42 ratings,24350,4,ImperialX,Education & Teacher Training,Introductory,English,4956
"USMx, UMD: Creating Innovative Business Models",4.8,14 ratings,28564,4,UMD,Business & Management,Introductory,English,15847
ANUx: Greatest Unsolved Mysteries of the Universe,4.9,28 ratings,114211,9,ANUx,Physics,Intermediate,English,4947
SmithsonianX: Interdisciplinary Teaching with Museum Objects,4.1,11 ratings,None,14,SmithsonianX,Education & Teacher Training,Introductory,English,5785
NUS: Intercultural Communication at Work – Land the job and do it well,None,None,13753,6,NUS,Communication,Intermediate,English,4956
"UMD, USMx: Data Science and Agile Systems for Product Management",4.7,7 ratings,16208,4,UMD,Business & Management,Intermediate,English,20878
"ImperialBusinessX, ImperialX: Climate Change: Financial Risks and Opportunities",4.1stars,22 ratings,None,4,ImperialBusinessX,Economics & Finance,Intermediate,English,6624
HarvardX: CS50's Introduction to Artificial Intelligence with Python,None,None,1132411,7,HarvardX,Computer Science,Introductory,English,None
HarvardX: Exercising Leadership: Foundational Principles,4.6stars,886 ratings,622786,4,HarvardX,Business & Management,Introductory,English,17556
RITx: Storytelling in the Workplace,4.4,65 ratings,34269,3,RITx,Communication,Introductory,English,16685
HarvardX: CS50's Web Programming with Python and JavaScript,None,None,1482100,12,HarvardX,Computer Science,Intermediate,English,None
GoogleCloud: Google Cloud Computing Foundations: Cloud Computing Fundamentals,4.5,31 ratings,69235,1,GoogleCloud,Computer Science,Introductory,English,12493
HarvardX: Introduction to Data Science with Python,4.3stars,109 ratings,166113,8,HarvardX,Data Analysis & Statistics,Intermediate,English,25116
HarvardX: CS50's Introduction to Cybersecurity,None,None,198078,5,HarvardX,Computer Science,Introductory,English,None
IBM: Python Basics for Data Science,4.4,801 ratings,799472,3,IBM,Data Analysis & Statistics,Intermediate,English,8301
HarvardX: Building Personal Resilience: Managing Anxiety and Mental Health,4.6,127 ratings,100147,6,HarvardX,Social Sciences,Introductory,English,18362
HarvardX: Data Science: Machine Learning,4.3stars,85 ratings,587853,8,HarvardX,Data Analysis & Statistics,Introductory,English,12516
HarvardX: Rhetoric: The Art of Persuasive Writing and Public Speaking,4.6,302 ratings,763568,8,HarvardX,Humanities,Introductory,English,17524
UQx: IELTS Academic Test Preparation,4.8stars,61 ratings,1648661,8,UQx,Communication,Introductory,English,18396
MITx: Becoming an Entrepreneur,4.2,60 ratings,273512,6,MITx,Business & Management,Introductory,English,5785
DavidsonX: Excel for Beginners,4.5,564 ratings,161788,4,DavidsonX,Data Analysis & Statistics,Introductory,English,20878
HarvardX: Human Anatomy: Musculoskeletal Cases,4.8,158 ratings,285338,7,HarvardX,Medicine,Intermediate,English,17524
HarvardX: Data Science: R Basics,4.4stars,176 ratings,889850,8,HarvardX,Data Analysis & Statistics,Introductory,English,18396
DoaneX: Business Writing Techniques,4.6,485 ratings,43137,4,DoaneX,Communication,Introductory,English,12493
HarvardX: CS50's Introduction to Databases with SQL,None,None,67442,7,HarvardX,Computer Science,Introductory,English,None
"HarvardX: Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",4.7,101 ratings,607921,5,HarvardX,Biology & Life Sciences,Introductory,English,20878
IBM: Machine Learning with Python: A Practical Introduction,4.5,402 ratings,178346,5,IBM,Data Analysis & Statistics,Introductory,English,8301
IBM: AI for Everyone: Master the Basics,4.4,292 ratings,185899,4,IBM,Computer Science,Introductory,English,8301
URosarioX: Inglés para todos: nivel básico,4.7,9 ratings,220690,4,URosarioX,Language,Introductory,Español,4108
"IBM: Introduction to Web Development with HTML5, CSS3, and JavaScript.",4.4stars,407 ratings,143244,2,IBM,Computer Science,Intermediate,English,4116
HarvardX: CS50's Introduction to Programming with Scratch,None,None,194161,3,HarvardX,Computer Science,Introductory,English,None
LinuxFoundationX: Introduction to Kubernetes,4.4,37 ratings,368943,14,LinuxFoundationX,Computer Science,Introductory,English,15847
HarvardX: Managing Happiness,4.7stars,322 ratings,150518,6,HarvardX,Social Sciences,Introductory,English,18396
HarvardX: Contract Law: From Trust to Promise to Contract,4.8,258 ratings,594785,8,HarvardX,Business & Management,Intermediate,English,25070
WellesleyX: Italian Language and Culture: Beginner (2023-2024),4.7,138 ratings,375976,12,WellesleyX,Language,Introductory,Italiano,4947
HarvardX: Entrepreneurship in Emerging Economies,4.6,204 ratings,836833,6,HarvardX,Business & Management,Introductory,English,20878
ETSx: TOEFL iBT Test Preparation: The Insider’s Guide,4.6,141 ratings,1538009,6,ETSx,Communication,Introductory,English,5031
IBM: Data Analytics Basics for Everyone,4.4stars,226 ratings,170856,5,IBM,Data Analysis & Statistics,Introductory,English,8316
UPValenciaX: Basic Spanish 1: Getting Started,4.5,130 ratings,607881,7,UPValenciaX,Communication,Introductory,English,2432
HarvardX: CS50's Computer Science for Business Professionals,None,None,214717,6,HarvardX,Computer Science,Introductory,English,None
MITx: Foundations of Modern Finance I,None,None,106584,12,MITx,Economics & Finance,Advanced,English,46116
UQx: English Grammar and Style,4.5,21 ratings,806424,8,UQx,Humanities,Introductory,English,10816
HarvardX: Justice,4.8,156 ratings,586508,12,HarvardX,Humanities,Introductory,English,17524
IBM: Introduction to Cloud Computing,4.6,379 ratings,104545,3,IBM,Computer Science,Introductory,English,4108
HarvardX: The Architectural Imagination,4.8stars,108 ratings,575334,10,HarvardX,Architecture,Introductory,English,20916
HarvardX: Machine Learning and AI with Python,3.7,6 ratings,20180,6,HarvardX,Data Analysis & Statistics,Intermediate,English,25070
IIMBx: Financial Accounting and Analysis,4.5,170 ratings,37229,6,IIMBx,Business & Management,Intermediate,English,4192
LinuxFoundationX: Introduction to Linux,4.4,175 ratings,873187,14,LinuxFoundationX,Computer Science,Introductory,English,17524
IBM: Introduction to Prompt Engineering,4.5,212 ratings,15592,3,IBM,Computer Science,Introductory,English,4108
IBM: Cybersecurity Basics,4.3,220 ratings,96287,4,IBM,Computer Science,Introductory,English,12493
HarvardX: Statistics and R,4.1,62 ratings,467610,4,HarvardX,Data Analysis & Statistics,Intermediate,English,18362
MITx: Circuits and Electronics 1: Basic Circuit Analysis,4.6,22 ratings,139776,5,MITx,Electronics,Introductory,English,15847
HarvardX: Calculus Applied!,4.8,29 ratings,156634,10,HarvardX,Math,Intermediate,English,None
EdinburghX: Digital Marketing Strategy,4.5,70 ratings,117348,8,EdinburghX,Business & Management,Intermediate,English,12493
UniversityofCambridge: Foundations of Finance,4.5stars,54 ratings,72611,5,UniversityofCambridge,Economics & Finance,Introductory,English,25116
IBM: Introduction to Data Science,4.5,222 ratings,163778,6,IBM,Data Analysis & Statistics,Introductory,English,8301
StanfordOnline: Databases: Relational Databases and SQL,4.4,35 ratings,119828,2,StanfordOnline,Computer Science,Introductory,English,5785
StanfordOnline: Statistical Learning with Python,4.6,9 ratings,17072,11,StanfordOnline,Data Analysis & Statistics,Introductory,English,15595
HarvardX: The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,4.7,53 ratings,132922,13,HarvardX,Philosophy & Ethics,Introductory,English,12493
