Course_Name,Rating,No_of_Ratings,No_of_Enrollment,Duration,Institution,Subject,Level,Language,Price
 How to Learn Online,4.2,66,295854,2,edX,Education & Teacher Training,Introductory,English,5796
 The Science of Happiness,4.6,38,586360,11,BerkeleyX,Social Sciences,Introductory,English,14170
 Remote Work Revolution for Everyone,4.6,96,119751,3,HarvardX,Business & Management,Introductory,English,12493
CS50's Introduction to Computer Science,,,6069194,12,HarvardX,Computer Science,Introductory,English,
 Data Visualization and Building Dashboards with Excel and Cognos,4.4,94,50423,4,IBM,Data Analysis & Statistics,Introductory,English,8301
" Six Sigma Part 2: Analyze, Improve, Control",4.7,45,86213,8,TUMx,Business & Management,Introductory,English,15876
 CS50's Introduction to Programming with Python,,,1086875,10,HarvardX,Computer Science,Introductory,English,
 Analyzing Data with Excel,4.4,450,252547,5,IBM,Data Analysis & Statistics,Introductory,English,8301
 The Science of Generosity: Do Good…Feel Good,,,,4,PennX,Philanthropy,Introductory,English,4108
 Entrepreneurial Operations: Launching a Startup,4.7,17,49083,4,BabsonX,Business & Management,Intermediate,English,15847
 Marketing Management,4.3,47,139290,9,IIMBx,Business & Management,Intermediate,English,12577
 The Foundations of Happiness at Work,4.5,25,102178,4,BerkeleyX,Business & Management,Introductory,English,16685
 Introduction to Web Accessibility,4.4,70,74588,4,W3Cx,Computer Science,Introductory,English,8301
 Coaching Skills for Learner-Centred Conversations,4.6,42,24350,4,ImperialX,Education & Teacher Training,Introductory,English,4956
 Creating Innovative Business Models,4.8,14,28564,4,UMD,Business & Management,Introductory,English,15847
 Greatest Unsolved Mysteries of the Universe,4.9,28,114211,9,ANUx,Physics,Intermediate,English,4947
 Interdisciplinary Teaching with Museum Objects,4.1,11,,14,SmithsonianX,Education & Teacher Training,Introductory,English,5785
 Intercultural Communication at Work – Land the job and do it well,,,13753,6,NUS,Communication,Intermediate,English,4956
 Data Science and Agile Systems for Product Management,4.7,7,16208,4,UMD,Business & Management,Intermediate,English,20878
 Climate Change: Financial Risks and Opportunities,4.1,22,,4,ImperialBusinessX,Economics & Finance,Intermediate,English,6624
 CS50's Introduction to Artificial Intelligence with Python,,,1132411,7,HarvardX,Computer Science,Introductory,English,
 Exercising Leadership: Foundational Principles,4.6,886,622786,4,HarvardX,Business & Management,Introductory,English,17556
 Storytelling in the Workplace,4.4,65,34269,3,RITx,Communication,Introductory,English,16685
 CS50's Web Programming with Python and JavaScript,,,1482100,12,HarvardX,Computer Science,Intermediate,English,
 Google Cloud Computing Foundations: Cloud Computing Fundamentals,4.5,31,69235,1,GoogleCloud,Computer Science,Introductory,English,12493
 Introduction to Data Science with Python,4.3,109,166113,8,HarvardX,Data Analysis & Statistics,Intermediate,English,25116
 CS50's Introduction to Cybersecurity,,,198078,5,HarvardX,Computer Science,Introductory,English,
 Python Basics for Data Science,4.4,801,799472,3,IBM,Data Analysis & Statistics,Intermediate,English,8301
 Building Personal Resilience: Managing Anxiety and Mental Health,4.6,127,100147,6,HarvardX,Social Sciences,Introductory,English,18362
 Data Science: Machine Learning,4.3,85,587853,8,HarvardX,Data Analysis & Statistics,Introductory,English,12516
 Rhetoric: The Art of Persuasive Writing and Public Speaking,4.6,302,763568,8,HarvardX,Humanities,Introductory,English,17524
 IELTS Academic Test Preparation,4.8,61,1648661,8,UQx,Communication,Introductory,English,18396
 Becoming an Entrepreneur,4.2,60,273512,6,MITx,Business & Management,Introductory,English,5785
 Excel for Beginners,4.5,564,161788,4,DavidsonX,Data Analysis & Statistics,Introductory,English,20878
 Human Anatomy: Musculoskeletal Cases,4.8,158,285338,7,HarvardX,Medicine,Intermediate,English,17524
 Data Science: R Basics,4.4,176,889850,8,HarvardX,Data Analysis & Statistics,Introductory,English,18396
 Business Writing Techniques,4.6,485,43137,4,DoaneX,Communication,Introductory,English,12493
 CS50's Introduction to Databases with SQL,,,67442,7,HarvardX,Computer Science,Introductory,English,
" Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",4.7,101,607921,5,HarvardX,Biology & Life Sciences,Introductory,English,20878
 Machine Learning with Python: A Practical Introduction,4.5,402,178346,5,IBM,Data Analysis & Statistics,Introductory,English,8301
 AI for Everyone: Master the Basics,4.4,292,185899,4,IBM,Computer Science,Introductory,English,8301
 Inglés para todos: nivel básico,4.7,9,220690,4,URosarioX,Language,Introductory,Spanish,4108
" Introduction to Web Development with HTML5, CSS3, and JavaScript.",4.4,407,143244,2,IBM,Computer Science,Intermediate,English,4116
 CS50's Introduction to Programming with Scratch,,,194161,3,HarvardX,Computer Science,Introductory,English,
 Introduction to Kubernetes,4.4,37,368943,14,LinuxFoundationX,Computer Science,Introductory,English,15847
 Managing Happiness,4.7,322,150518,6,HarvardX,Social Sciences,Introductory,English,18396
 Contract Law: From Trust to Promise to Contract,4.8,258,594785,8,HarvardX,Business & Management,Intermediate,English,25070
 Italian Language and Culture: Beginner (2023-2024),4.7,138,375976,12,WellesleyX,Language,Introductory,Italian,4947
 Entrepreneurship in Emerging Economies,4.6,204,836833,6,HarvardX,Business & Management,Introductory,English,20878
 TOEFL iBT Test Preparation: The Insider’s Guide,4.6,141,1538009,6,ETSx,Communication,Introductory,English,5031
 Data Analytics Basics for Everyone,4.4,226,170856,5,IBM,Data Analysis & Statistics,Introductory,English,8316
 Basic Spanish 1: Getting Started,4.5,130,607881,7,UPValenciaX,Communication,Introductory,English,2432
 CS50's Computer Science for Business Professionals,,,214717,6,HarvardX,Computer Science,Introductory,English,
 Foundations of Modern Finance I,,,106584,12,MITx,Economics & Finance,Advanced,English,46116
 English Grammar and Style,4.5,21,806424,8,UQx,Humanities,Introductory,English,10816
 Justice,4.8,156,586508,12,HarvardX,Humanities,Introductory,English,17524
 Introduction to Cloud Computing,4.6,379,104545,3,IBM,Computer Science,Introductory,English,4108
 The Architectural Imagination,4.8,108,575334,10,HarvardX,Architecture,Introductory,English,20916
 Machine Learning and AI with Python,3.7,6,20180,6,HarvardX,Data Analysis & Statistics,Intermediate,English,25070
 Financial Accounting and Analysis,4.5,170,37229,6,IIMBx,Business & Management,Intermediate,English,4192
 Introduction to Linux,4.4,175,873187,14,LinuxFoundationX,Computer Science,Introductory,English,17524
 Introduction to Prompt Engineering,4.5,212,15592,3,IBM,Computer Science,Introductory,English,4108
 Cybersecurity Basics,4.3,220,96287,4,IBM,Computer Science,Introductory,English,12493
 Statistics and R,4.1,62,467610,4,HarvardX,Data Analysis & Statistics,Intermediate,English,18362
 Circuits and Electronics 1: Basic Circuit Analysis,4.6,22,139776,5,MITx,Electronics,Introductory,English,15847
 Calculus Applied!,4.8,29,156634,10,HarvardX,Math,Intermediate,English,
 Digital Marketing Strategy,4.5,70,117348,8,EdinburghX,Business & Management,Intermediate,English,12493
 Foundations of Finance,4.5,54,72611,5,UniversityofCambridge,Economics & Finance,Introductory,English,25116
 Introduction to Data Science,4.5,222,163778,6,IBM,Data Analysis & Statistics,Introductory,English,8301
 Databases: Relational Databases and SQL,4.4,35,119828,2,StanfordOnline,Computer Science,Introductory,English,5785
 Statistical Learning with Python,4.6,9,17072,11,StanfordOnline,Data Analysis & Statistics,Introductory,English,15595
 The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,4.7,53,132922,13,HarvardX,Philosophy & Ethics,Introductory,English,12493
 Data Science: Visualization,4.4,92,287567,8,HarvardX,Data Analysis & Statistics,Introductory,English,18362
 Introduction to Probability,4.3,38,188610,10,HarvardX,Data Analysis & Statistics,Intermediate,English,17524
 Leaders of Learning,4.6,309,367670,10,HarvardX,Communication,Introductory,English,17524
 Introduction to Biology - The Secret of Life,,,232944,16,MITx,Biology & Life Sciences,Introductory,English,12600
 Cell Biology: Mitochondria,4.7,161,137202,4,HarvardX,Biology & Life Sciences,Introductory,English,12493
 Java Programming Fundamentals,4.4,104,40328,5,GalileoX,Engineering,Intermediate,English,3270
 A Hands-on Introduction to Engineering Simulations,4.8,24,294331,6,CornellX,Engineering,Intermediate,English,16685
 HTML5 and CSS Fundamentals,4.5,122,414758,6,W3Cx,Computer Science,Introductory,English,20916
 Upper-Intermediate English: Business and Modern Life,4.6,63,157924,4,UPValenciaX,Language,Intermediate,English,3270
 Technology Entrepreneurship: Lab to Market,4.5,95,144789,5,HarvardX,Business & Management,Introductory,English,12516
 Critical Thinking & Problem Solving,4.5,134,51591,3,RITx,Communication,Introductory,English,16685
 Software Engineering Basics for Everyone,4.6,69,28482,6,IBM,Computer Science,Introductory,English,8301
 Programming for Everybody (Getting Started with Python),4.7,141,581247,7,MichiganX,Computer Science,Introductory,English,4956
 Communication Skills and Teamwork,4.5,322,31711,3,FullbridgeX,Business & Management,Introductory,English,
 Introduction to Corporate Finance,4.5,57,180233,4,ColumbiaX,Business & Management,Introductory,English,18865
 Intro to Stock Trading,3.9,38,31367,3,NYIF,Economics & Finance,Introductory,English,8301
